,Title,email,KeyWords,Abstract,domain
0,A Hybrid Neuro-Fuzzy Model to Forecast the Soybean Complex  ,,,"The volatile and complex market of agricultural futures contracts creates difficulty in predicting future price movements. Many things affect commodity data, including weather, sentiment, supply, and demand. Hence, by its very nature, this data is non-linear. Charting and technical trading are used by brokers to find trends and movements in the market; however, trading using these strategies with uncertain situations can become risky. Moreover, technical and charting strategies tend to create signals to buy and sell in the market later, rather than sooner. Some commodity traders still feel as though computer generated trades can lead to greater losses compared to more  traditional methods. Thus, the purpose of this research is to use a hybrid neuro-fuzzy model to create predictive entry and exit trades in the soy market. Data from the CME soybean, soy oil, and soymeal futures markets will be used to show that computational intelligence methods are comparable, facilitating profitability in complex markets. ",
1,"Actionable Volatility, Real Option Values, and Recent Oil Price Changes ",,,"Financial and real option analysis rely on the correct use of volatility. Determining a financial option's volatility is not a problem because it is based on uncertainty in one variableprice, and it is projected into the future for a relatively short time. For real options, there are multiple methods to calculate volatility and there is no well-defined approach to the question of which sources of variability should be included, and for how long. Many applications use a volatility projection based on the projects life, which is incorrect when the concept of actionable volatility is applied. Actionable volatility recognizes that only some and not all uncertainty is resolved when a real option is exercised. Thus this approach limits what variables are included, and for how long, in determining the project volatility parameter.   Traditional real option pricing methods would have dramatically overpriced options in the oil and gas sector in the past few years. Real options methods have been accused of overpricing options, and inflated volatility is a primary reason. The use of actionable volatility methods limits the forecasting horizon, which limits the value of the real option. Recent oil and natural gas prices are used to demonstrate the problem of option pricing based on project life horizons rather than on resolved uncertainty horizons. The dramatic decrease in energy prices serves as another reminder that the adoption of complex mathematical models without fully understanding their underlying assumptions can lead to serious financial problems. ",
2,Project Portfolios and Financial Portfolio Theory,,,"When we teach project selection in our engineering economy courses, it is usually presented in the mode of valuation within a constrained budget. This often is based on ranking of an expected return or expected value. While this is a good place to start, it is not a complete picture of how project selection is actually or should be performed. Financial portfolio theory has clearly demonstrated that both expected return and risk need to be considered when choosing investments. Individual investments play a unique role only in their contribution to the overall investment portfolio, thus only systematic risk matters, not total risk. These financial portfolios are typically made up of stocks, bonds, money market funds, etc. The mathematical theory is well developed and there is adequate data for application. This paper addresses the extent to which financial portfolio theory can be extended to project portfolios. We find that project portfolios can be analyzed in strategic, marketing, financial, or project management contextswhere the portfolio emphasizes interactions and total performance of the entire set of projects. The multiple contexts present both challenges and the richness of multiple perspectives. In particular, the strategic, marketing, and financial perspectives focus on maximizing the firms long-term financial performance. While many of the calculations that are part of financial portfolio theory cannot be replicated for project portfolios, we assert that there are useful inferences for project selection in a portfolio context. While based on financial results, they also consider strategic and marketing perspectives.",
3,"Case Study: Design, Development and Launch of a new MS Systems Engineering Degree",,,"In September 2014 Drexel University launched a new MS Systems Engineering degree. This presentation is not about the curriculum, but rather the approach used in developing the curriculum.  We live in a high tech, complex world with aging stressed systems.  Long term policy makers suggest we have entered a new level of complexity and systems skills are critical tin helping engineers develop robust and sustainable systems in communication, defense, energy, healthcare transportation and others.  In order to meet the challenge, systems engineers with  formal education combined with practical experience are needed to address a multitude of problems requiring a systems engineering approach for solution. The approach of formal education in systems engineering has to provide students with skills that contain the following core, essential elements: Provide knowledge and expertise of the Systems Engineering Processes to integrate user needs, manage requirements, conduct technological evaluation and trade studies, build elaborate system architectures, assess risk and establish financial and schedule constraints Provide skills for systems engineering leaders to develop affordable systems in design and sustainability by addressing and solving issues across every facet of the systems engineering life cycle model from conceptual development, engineering development, deployment/execution and sustainability.  Include the involvement of academia, experienced industry leaders and participation of societies such as International Council on Systems Engineering (INCOSE), Systems Engineering Research Center (SERC) and ASEM The presentation will address this approach to formal to develop skills required by todays systems engineers",
4,Engineering Analytics: Research into the Governance Structure Needed to Integrate the Dominant Design Methodologies ,,,"In the ASEM-IAC 2014, Cotter (2014) explored the current state of engineering design, identified the dominate approaches to engineering design, discussed potential contributions from the new field of data analytics to engineering design, and proposed an Engineering Analytics framework that integrates the dominate engineering design approaches and data analytics within a human-intelligence/machine-intelligence (HI-MI) design architecture..  This paper reports research into defining the systemic design governance needed to integrate the dominate engineering design approaches into an integrated design methodology architecture to guide HI-MI design.",
5,A Brief Review of Systems Engineering Programs and a Vision for the Future of Systems Engineering Education ,,,"A basic premise of academia and science is that knowledge is developed using information generated in the past.  As a result, academics is inherently flexible, able to adapt to new knowledge and theories.  In the last decade, Systems Engineering (SE) has seen a significant increase in the amount of knowledge and theories.  This recent wellspring of knowledge has been driven by government organizations, industry, academia, and inter-organizational groups such as the NASA SE Consortium involving multiple universities and NASA.  These groups, and recent workshops and conferences, have recognized the shortcomings of the traditional SE process and have begun examining a fundamental rethinking of the theoretical basis of SE.  Essentially the development of a science of SE is underway.  SE programs must remain flexible during this time to best serve the students, offering courses that teach the practices of today (recognizing their benefits and drawbacks) as well as the theories and tools that will drive the future.  The paper examines SE programs across the country in an effort to understand their similarities as well as the aspects that differentiate them.  The paper will offer a vision for the future of SE education that will incorporate discussions from the NASA SE Consortium which is led by faculty at the University of Alabama in Huntsville.  The courses offered in the UAH SE program will be examined and multiple paths forward will be discussed.",
6,Evolution of structural complexity in projects,,,"Much of what a firm does is performed on a project basis: innovation, product launch, M&A, restructuring and market repositioning are just but few of the examples.  Projects follow the similar lifecycle process as firms do in their market. Projects are incubated, they grow, and they mature and decline.  During its lifecycle, the profile of the project and its structure change extensively while its complexity characteristics - both internal and external  evolve as well.  Complexity correlates well with non-deterministic behavior, non linearity, unpredictability and lack of control. This paper will examine the rise and fall of projects complexity along their lifecycle due to structural interactions within the project itself, the immediate portfolio and external stakeholders. Implications for project behavior related to stability, observability and control will be also be examined. The issues particular to the matrix structure, which is widely used for ensuring project execution and delivery, will be discussed in detail.",
7,Multi-Attribute Fuzzy Approach to Rank Construction Contractors ,,,"Contractor selection decision in construction related projects affects the overall success of any project; therefore, there is a need for quantitative methods to help stakeholders make better decisions about contractor selection. This study enhances the construction management profession by introducing a new contractor selection method that incorporates using a quantitative fuzzy-set method to assist in the contractor selection process by implementing multi-attribute decision-making. This research examines a contractor selection model called the Fuzzy Technique for Order Preference by Similarity to Ideal Solution (TOPSIS) to help decision makers make a decision on contractor selection. The triangular fuzzy-set model is implemented to define the linguistic terms used to describe subjective judgment related attribute weight assessment and selection attributes rating. Uncertainties of multiattribute and the relative weights of these attributes are quantified using fuzzy method. This study models the evaluation process of a set of different attributes that contribute to contractors selection and the relative importance of these attributes using fuzzy membership functions. Linguistic terms are used to assess different attributes and their weights. The contractor selection model introduced in the study converts linguistic terms into membership functions using fuzzy logic. The decision-maker rates different contractors (up to 5 contractors) using linguistic terms, which are converted into membership functions that represent the degree to which decision-makers believe",
8,Project Management and Effective Communication: A Study of Linguistic Philosophy for Communication Competency ,,,"Communication, considered the foundation of an organization, plays one of the most important roles in project management. While the cause of unsatisfactory results and premature project termination can vary widely, studies show that on average one fifth fail due to communication ineffectiveness. As technologies evolve and outreach becomes more efficient, the question is whether communication effectiveness will simultaneously evolve to meet modern demand, or become less effective over time. In this paper, a conceptual framework to catalogue project communications from a system thinking perspective to break down and consider linguistic components that make the exchange of information effective, known as communication competence is presented. The analysis is conducted using two components of communication competency: 1) linguistic competency, regarded as the sounds, words, and sentence structures in a form that may be understood, and 2) sociolinguistic competency, the appropriateness of the exchange with respect to whom, what, when, where, and why. In addition to linguistic and sociolinguistic competency, the paper shall further evaluate two forms of communication exchange, personal face-to-face and virtual or telecommunication. In determining what aspects of communication are required in each form and improving those aspects less effective, it is assumed that the overall exchange of information may be optimized. Through the use of the state-of-the-art matrix analysis, components of communication processes will be identified and catalogued based on face-to-face versus virtual interaction characteristics. As a result, the conceptual framework for project communication to improve the effectiveness of communication within projects.",
9,Business Model to Supply Rural Electric Cooperatives with an Integrated Renewable Energy System ,,,"The United States has tremendous potential for harnessing different forms of renewable energy which could help eliminate our dependency on foreign oil.  The Great Plains alone could provide all the power our country could foreseeably need with just wind power.  But, in addition to wind, the Plains are an excellent resource for biofuel feedstocks such as native grasses, wheat, corn, wheat, oil producing crops and agricultural wastes due to the natural climate and abundant rainfall. This paper describes a business model to use local High Plains renewable resources to satisfy rural residential and industrial / agricultural power demand and also, to process fuels for local and export sales.  This model is based on the integrated solution producing syngas which can be stored and transported using the countrys current transportation infrastructure.  This solution has great potential for the nearly 300 Rural Electrification Associations (REAs) currently in the Great Plains which do not produce power.  Currently, the REAs typically purchase power from privately owned non-renewable type power plants such as coal or combined cycle.  The integrated solution provides an opportunity for REAs to utilize renewable energy which will reduce greenhouse gases (GHG) and the loss of scarce water that is now used in cooling evaporation systems.",
