,Title,email,KeyWords,Abstract,domain,Institution,Country,Latitude,Longitude
0,PERSPECTIVE-AGNOSTIC MODELING: THE CASE FOR ENGINEERING MANAGEMENT’S USE OF APPLIED CATEGORY THEORY,@oregonstate.edu,"Applied Category Theory, Systemic Modeling, Organization Diagnosis","Engineering Managers utilize many tools to manage their work throughout their organizations. A common tool in the engineering management arsenal used to accomplish their work is modeling, which allows practitioners to collect their ideas in one place and communicate them to stakeholders. While effective, many of these modeling processes depend on inconsistent timeframes or individual stakeholder views, and it is difficult to rigorously capture individual contexts, which limits the model’s general applicability and ability to merge with other models or processes. Applied Category Theory contrasts with these modeling processes by re maining agnostic towards stakeholder perspectives and generalizable enough to accommodate inconsistent timeframes and multiple bodies of knowledge. Applied Category Theory is also mathematically rigorous, allowing models to be universally communicable to a ll stakeholders and provide a clear structure for integrating new knowledge and updating current-state models. This research will illustrate the use of applied category theory in modeling a small organizational setting in pursuit of collecting information and diagnosing organizational problems. This research will also detail a selection of the mathematically rigorous concepts utilized for modeling via applied category theory with suggestions for future research directions that may be needed for more complic ated cases. Utilizing this research, engineering managers will be able to examine scenarios within their organizations and model them in a generalizable and universally communicable way. Through utilizing applied category theory modeling, practitioners will also ensure that as many stakeholders as possible can utilize a shared and holistic perspective when addressing organizational challenges. Keywords Applied Category Theory, Systemic Modeling, Organization Diagnosis Introduction Within the course of business, organizational actors regularly examine the practices of their organizations to ensure that they are effectively pursuing the established organizational processes and goals. These examinations can relate to both processes occurring strictly within one department, and to processes occurring between departments. Often, these examinations focus on the representation of abstract processes, or the optimization of processes to improve the performance of the organization and the unit s within it, and many modeling approaches attempt to address these challenges. Examples of these modeling approaches include, but are not limited to: Business Process Model and Notation (Business Process Model and Notation (BPMN), Version 2.0, 2013) , Model-Based Testing, Model-Driven Engineering (Lopes & Guerreiro, 2023) , Flowcharting, IDEF techniques, Petri Nets, various simulation techniques including Discrete-Event Simulation, Agent-Based simulation, and System Dynamics, and various knowledge -based techniques including Knowledge-Based Systems and Qualitative Simulation (Giaglis, 2001) , and Systems Modeling Language (OMG Systems Modeling Language (SysML) , 2024). While each technique has individual advantages and contexts in which it thrives, each technique has its own disadvantages. Processes relating to the representations of abstract elements and processes cann ot fully capture the specific interactions of the systems at play and run the risk of being exploited by bad-faith actors who wish to push for their own agendas at the expense of other potentially valid solutions to existing problems. Conversely, simulatio n and knowledge -based techniques risk focusing too much on the interaction and transfer of data and neglecting the interaction of other more qualitative systems that may influence the effectiveness of the processes being modeled. In the context of organiza tional problem diagnosis and holistic intervention a modeling theory that captures the interaction of organizational systems without neglecting the",oregonstate.edu,Oregon State University,United States,44.56305595,-123.28392337694638
1,DEVELOPING A VIRTUAL SIMULATION GAME FOR EVALUATING PEER EFFECTS ON WORKPLACE SAFETY BEHAVIORS,@oregonstate.edu,"Peer effects, safety behavior, simulation, virtual reality, social comparison","There is a need to evaluate and manage peer effects on workplace safety behaviors as unmanaged peer effects can cause the formation and spread of safety-violating behaviors, thus leading to increased accident occurrence and poor safety culture. There is currently a lack of research on evaluating peer effects on safety behaviors which is partly due to the complexity of  modeling social interactions and the safety risks associated with implementing and evaluating safety behaviors. The objective of this study was to develop a theory-based virtual reality simulation game to study the effects of peer on workplace safety behaviors. The virtual reality game was developed through a three -stage systematic process that involved: a ) Modelling inducement of  peer effects  through information transmission and Festinger’s social comparison  theory, b) Identification and satisfaction of Manski’s requirements for identifying endogenous peer effects, c) Modelling safety behaviors based on workplace safety behaviors concepts and ideas, and d) Designing a virtual simulation game according to the theories in (a, b, and c). While the validity of the game is not discussed in this study, this study discusses the virtual reality game design, and the design of the experiment to study peer effects on safety behaviors. Keywords Peer effects, safety behavior, simulation, virtual reality, social comparison Introduction Peer effects refer to the change in behaviors of a person (receiver) caused by a peer (source) . Existing studies do not have a consistent definition for peers as they define peers based on their study objectives, however, in this study, we define a peer as someone who possesses similar strength to the receiver while acting in the same role as the receiver. In this context, strength refers to the power or capacity to impact others. People may possess similar strengths if they are coworkers with the same authority within an organization Peer effects can be largely categorized into two groups, endogenous peer effects, and exogenous peer effects. Endogenous peer effects are peer effects caused by the source’s behavior, while exogenous peer effects are effects caused by the source's  characteristics (Manski, 1993). This study focuses on endogenous peer effects in the workplace and for the remainder of this study will refer to endogenous peer effects as “peer effects”. Peer effects also exist  in the wor kplace and have  been shown to affect employee  performance (Villeval, 2020, Mas and Moretti, 2009), decision-making (Rosaz et al., 2016), risk-taking (Gioia, 2017), and safety violations (Liang et al., 2018b). In the workplace, peer effects have shown varying outcomes on employee behaviors (Villeval, 2020) , for example, studies have found increased employee performance due to peer effects (Falk and Ichino, 2006; Mas and Moretti, 2009; Cadsby et al., 2019),  while other studies have found decreased perfor mance due to peer effects (Newman and Tafkov, 2014; Silver, 2021). Since peer effects can occur naturally (without management intervention) and can lead to negative outcomes, it is crucial to understand how peer effects may impact employee safety behaviors in the workplace. There is substantial research on peer effects, however, there is a lack of studies that explore peer effects on safety behaviors. Liang et al. (2018b) developed an agent-based model based on existing workplace safety data to show the spread of safety violations within a construction crew . Using existing data for research  provides useful insight into answering the research questions, however, the methods involved in analyzing such data can be challenging if the data was not collected to study peer effects (Manski, 1993). If the existing data was not collected to study peer effects, the data may not explicitly differentiate between the source  and receiver in the  peer effect process , Manski ( 1993) describes this challenge as the “reflection problem”. Studying peer effects using existing data can also be challenging",oregonstate.edu,Oregon State University,United States,44.56305595,-123.28392337694638
2,EXPLORING CATEGORICAL STRUCTURES FOR CONTEXT- INFORMED PERFORMANCE APPRAISAL SYSTEMS IN MODERN WORKPLACES,@oregonstate.edu,"Performance appraisal, systems thinking, category theory, sheaf theory, performance pattern recognition","Traditional performance appraisal  (PA) methods, often reliant on static measures, are increasingly misaligned with the needs o f organizations in the complex, continuously evolving, modern work environment. Such methods offer only a snapshot of team performance from a fixed perspective, failing to capture a  context-informed scope of performance over time. This limitation restricts engineering managers' ability to make context-informed decisions on resource allocation, potentially misaligning actions or objectives with current or future organizational needs and exacerbating discrepancies between evaluated and actual performance. Con sequently, inaccurately assessed employees may feel undervalued or experience decreased motivation and job satisfaction, potentially resulting in higher turnover rates. Addressing these shortcomings requires reevaluating team performance measurement and management. One potential solution for facilitating this approach is adopting mathematical methods that signal changes in team dynamics to leadership and support responsive behavior adjustments based on context -derived insights. Observing patterns in these b ehaviors, tracking their changes, and leveraging the information they provide becomes a relevant strategy by allowing leaders to monitor the interplay between the team's behaviors and the context in which it operates. This approach enables engineering managers to observe the identification of shifts and disruptions within team dynamics. This paper introduces a novel mathematical appraisal model, incorporating the transdisciplinary principles of systems thinking and categorical sheaf  theory to enhance engineering managers' understanding of team performance with context-informed insights. Keywords Performance appraisal, systems thinking, category theory, sheaf theory, performance pattern recognition Introduction In m odern organizations, p erformance appraisal (PA) systems maintain relevance in organizational management, guiding many functions , including resource allocation, employee development, and strategic planning decisions (Cappelli & Conyon, 2018; Coens & Jenkins, 2002) . Traditional appraisal methods, which often rely on static and isolated measure ments, may not effectively capture the complexity and dynamism of contemporary work environments (Levy & Williams, 2004). These methods offer a limited view of team performance, lacking the context for accurate assessment and responsive management (Smither et al., 2005; Spitzer, 2007). These limitations are particularly evident in engineering management, where projects typically involve intricate interdependencies, requiring timely adjustments based on real -time data and evolving conditions. Traditional PA methods fall short of capturing the dynamic and interdependent nature of team performance (Levy & Williams, 2004; Mathieu et al., 2019) . Failing to capture the complexity and dynamism of modern work environments can lead to inaccurate assessments and management decisi ons, impacting  resource allocation, employee development, and strategic planning, potentially causing inefficiencies and missed opportunities for improvement. A more nuanced approach is necessary to accurately reflect team performance and provide the context for effective and responsive management (Levy & Williams, 2004). By adopting a systems perspective, engineering managers can gain clarity and precision when describing the relationships between different organizational components and their collective impact on performance . However, current approaches in PA  systems often lack scalability and adaptability, suggesting the need for incorporating mathematical rigor. Abstract m athematical frameworks, such as category theory  (CT), sheaf theory, and their",oregonstate.edu,Oregon State University,United States,44.56305595,-123.28392337694638
3,A BIBLIOMETRIC REVIEW OF ENGINEERING MANAGEMENT OVER TEN YEARS (2014-2023),@kingston.ac.uk,"Engineering management, epistemology, systematic search, bibliometric review, co-occurrence map.","The subject of engineering management is concerned with the management of organizations, people and projects in a technological or engineering systems context and there are many studies across the field of engineering management in the extant literature. Engineering management also represents an approach to tackle the grand challenges of today, such as the need for sustainable development as well as digit al transformation. Therefore, it is important for scholars to have a deep understanding of the scope of the subject as well as emerging patterns in the knowledge base and consequently this research study conducted a bibliometric review of engineering manag ement. The review was underpinned by a systematic search of the literature on engineering management over a 10 -year period (2014-2023). This allowed the documents to be categorized according to publication metrics accompanied by bibliometric analysis to determine a number of parameters, including co-occurrence of keywords, co-occurrence of text, and co-authorship in terms of countries. The bibliometric review provides insights into emerging trends across the subject of engineering management as well as collaboration patterns combined with an exploration of the intellectual structure of the subject. The study concludes with recommendations for the development of the engineering management subject. Keywords Engineering management, epistemology, systematic search, bibliometric review, co-occurrence map. Introduction The subject of engineering management is concerned with the management of organizations, people , and projects in the context of technological or engineering systems . Engineering management is practiced widely across technical environments and the discipline is implicitly linked to the organizational role of the engineering manager. Moreover, engineering management is carried out  in different situations and across a range of industrial sectors, such as manufacturing, construction, production, transport ation and business administration. Consequently , engineering management has been researched extensively, and there are many studies across the field of engineering management in the extant literature . There have been a number of articles that have sought to describe the main features of the discipline as well as the historical basis of the subject, for example, see the work of Lannes (2001), Roberts (2004), Kocaoglu (2009), Omurtag (2009), Chang (2016) and He (2023). Indeed, one of the challenges associated with the engineering management discipline is codifying the features of the subject, since it includes a broad range of topics and problem areas  associated with both human and non -human elements ( Spurlock et al., 2008). Engineering management can also be viewed in terms of the challenges for technical organizations and engineering managers, including the business environment trends a nd challenges (e.g. globalization) ; organizational trends and challenges (e.g. implementing a process-based organization); and engineering management/manager trends and challenges (e.g. understanding and managing uncertainty) (Kotnour & Farr, 2005). In ter ms of a definition, the American Society for Engineering Management (ASEM) defines engineering management as “ an art and science of  planning, organizing, allocating resources, and directing and controlling activities that have a technological component” (Shah, 2015, p. 3). Interestingly, while engineering management is a subject area with a corresponding academic discipline; it is also composed of several  sub-areas, which collectively can be viewed as the ‘building blocks’ of engineering management. These sub-areas include, for example, leadership and organizational management, project management, supply chain management, technology management, engineering economy, and systems engineering; many of which are described as domain areas in the Engineering Management Body of Knowledge (Shah, 2015). Reflecting on this situation further, engineering management would appear to be both a defined area of knowledge in its own right as well as representing a set of semi -independent knowledge areas. For instance, in the case of project management, there are studies that are focused on the",kingston.ac.uk,Kingston University,United Kingdom,51.403073899999995,-0.3032181426130893
4,ASEM 4.0/5.0 – EVOLVING THE ENGINEERING MANAGEMENT PROFESSION THROUGH INDUSTRY 4.0/5.0 COLLABORATIVE NETWORKS,@odu.edu,"collaborative networks, Industry 4.0, Industry 5.0, cyber-physical systems","The American Society for Engineering Management was created and matured under Industry 3.0 automation.  The emergence of Industry 4.0 and 5.0 are forcing all organizational sectors to rethink their long-term strategy with respect to emerging horizontal/vertical cyber-physical systems integration.  This leaves open the question of the directions in which ASEM should evolve into the 21 st century.  This paper reports an initial mapping of Industry 4.0 and 5.0 technologies and initiatives as goal-oriented, long-term strategic collaborative networks.  The research method began with the Boston Consulting Group nine technologies of Industry 4.0 (2015) and the Industry 5.0 technologies within its human-centric, sustainability, and resilience initiatives  as an initial conceptual framework .  Research questions were derived from collaborative network theory in the context of  the Industry 4.0/5.0 conceptual framework.  Key word searches were performed, and a corpus of journal articles was assembled with respect to the research questions. A systematic literature review was conducted using Industry 4.0/5.0 collaborative networks concepts identified from evidential coding rules developed.  The emergent Industry 4.0/5.0 cyber-physical collaborative networks  goal- oriented, long-term strategic concepts were organized within the collaboration  theoretical framework.  The paper concludes by suggesting directions for ASEM to consider in its own strategic evolution into 21st century collaborative cyber-physical systems. Keywords collaborative networks, Industry 4.0, Industry 5.0, cyber-physical systems Introduction The primary objective of Industry 4.0 is the integration of smart technologies into  autonomous massive horizontally and vertically collaborative manufacturing  value-chain networks across the Internet of Th ings to achieve innovative levels of competitive advantage through individualized product customization.   (Erboz, 2017; Ojra, 2018 , Rupp, Schneckenburger, Merkel, Börret, and Harrison, 2021 )   Industry 5.0 extends the massive horizontally and vertically collaborative networks to the objectives of human-centric, sustainable, and resilient societies.  Industry 5.0 envisions smart technologies collaborating with humans in virtual intelligent systems to enhance societal well-being. (Skobelev and Borovik, 2017 ; Paschek, Mocan, and Draghici, 2019 )  The drive toward massive horizontally and vertically integrated virtual intelligent collaborative systems is forcing all organizational sectors to rethink long -term collaboration strategy.  The central question is how massive horizontally and vertically integrated virtual intelligent collaborative systems will change business collaboration strategy. (Kraaijenbrink, 2022)  ASEM leadership is faced with the same question with respect to its long-term cyber-physical collaboration strategy.  The question for ASEM is how will Industry 4.0 and 5.0 massive horizontally and vertically integrated virtual intelligent collaborati on systems impact the ASEM customer value proposition strategy as it moves into 21 st century collaborative cyber-physical systems? Essential Collaborative Networks Theory A problem-driven concept analysis is motivated by epistemic questions about a phenomen on for which the analyst believes the answer s can be synthesized from existing r esearch literature.  Concept synthesis requires a reference",odu.edu,Old Dominion University,United States,36.8862699,-76.30972478839735
5,CAN ONLINE TRAINING REPLACE FACE-TO-FACE TRAINING? EVIDENCE OF LEAN MANUFACTURING TRAINING FOR INDUSTRY PERSONNEL IN THE US,@uky.edu,"Online, Face-to-face, Training, Lean Manufacturing.","Online training recently surged due to the COVID -19 global pandemic, and many higher learning institutions transformed face-to-face learning into online learning. This study analyzes the perception and performance of industry participants for face-to-face and online Lean Manufacturing training from 2019 - 2021. The researchers assessed the performance of online and face-to-face participants using pretests and post-tests. Paired t-tests were utilized to evaluate if the differences in the pretests and post -tests were statistically different. Furthermore, the p erceptions of online and face-to-face participants were gathered through a survey questionnaire. The study results indicated that Lean Manufacturing could be learned effectively through online and face -to-face formats. Industry participants also suggested best practices to improve online and face -to-face training. The study can be helpful to higher learning institutions and organizations that want to teach Lean Manufacturing online to industry participants. In addition, online learning requires designing a training program and selecting instructional delivery methods and techniques that enhance learning and knowledge transfer. Therefore, the suggestions given by the industry participants could be helpful for Lean Manufacturing instructors. According to the authors’ knowledge, this is the first study that offers the perception and performance of industry participants trained for Lean Manufacturing using face -to-face and online methods in the USA. Keywords Online, Face-to-face, Training, Lean Manufacturing. Introduction The coronavirus-19 (COVID-19) outbreak forced higher learning institutions and other organizations to transition to online learning and training. Face-to-face training became impossible due to the social distance requirement enforced by the government due to the pandemic. Although face-to-face training became impossible, some organizations such as healthcare, food processing, fire -fighting, and pharmaceuticals remained operational in 2020 and needed their employees to learn about Lean Manufactu ring. Thus, training was only possible via online platforms. During the pandemic, many organizations began to use online training to quickly guide workers and upskill them to meet the ever-changing job requirements (Verma et al., 2020). Online training also enabled employees to collaborate remotely on how to improve their working environment without the need to have face -to-face training. Although several studies have compared the impact of online and face -to-face learning in engineering (Fouad et al., 2021; Martínez et al., 2019; Schnieder et al., 2022) , few st udies have been done to show how these two modes of learning impact industry personnel. Many studies focused on the impact of online and face -to-face learning on university students (Hoffman & Elmi, 2020; Khraishi, 2020). Furthermore, although several universities have offered online Lean Manufacturing training, few studies show how Lean Manufacturing training can be conducted online (McKie et al., 2021) . McKie et al. (2021)  examined how face -to-face Lean Manufacturing was converted to online training for the Engine Manufacturing center in the United Kingdom during the lockdown. The study revealed the number of trained participants before , during, and after the lockdown. However, the study did not compare the performance in online and face-to-face tests; it only highlighted the number of quizzes taken by the online participants.",uky.edu,University of Kentucky,United States,38.026629099999994,-84.50472223981663
6,ENHANCING HEALTHCARE MANAGEMENT IN LMICS THROUGH BIG DATA: STRATEGIES FOR DATA QUALITY IMPROVEMENT AND CONTEXTUAL INTEGRATION,@uj.ac.za,"Big data, Electronic Health Record, Healthcare, Interoperability, Universal Health Coverage.","The potential of big data to revolutionize healthcare in low - and middle-income countries (LMICs) is hindered by challenges such as limited data availability and poor alignment with local healthcare needs. This study critically analyses the current state of big dat a in LMIC healthcare and develops a framework to enhance data utility while ensuring contextual relevance and user -friendliness. The methodology involves examining successful big data applications and identifying best practices in data quality improvement, interoperability, and capacity building within digital healthcare systems. The findings offer practical insights for optimising big data analytics in LMICs, addressing issues such as data incompatibility with local healthcare practices and infrastructure constraints. The expected impact includes guiding policymakers and healthcare providers in LMICs towards more effective big data implementations, aiming to improve healthcare delivery and patient outcomes. This study contributes to the advancement of equit able and efficient healthcare systems in LMICs by focusing on tailored, sustainable big data solutions. Keywords Big data, Electronic Health Record, Healthcare, Interoperability, Universal Health Coverage. Introduction The advent of big data has ushered in a transformative era in healthcare, promising advancements in delivery and management across the globe (Aceto , Persico, & Pescapé, 2020; Karatas, Eriskin, Deveci, Pamucar, & Garg , 2022). Big data, characterized by its volume, velocity, variety, and vera city, offers the potential to revolutionize healthcare systems, particularly in high-income countries (HICs) where it has already demonstrated its effectiveness in improving diagnostics, facilitating personalized treatment plans, enhancing disease surveill ance, and optimizing resource allocation (Batko & Ślęzak, 2022). The capacity to analyze massive and diverse data sources, such as electronic health records (EHRs), genomic data, medical imaging, and wearable device data, has opened unprecedented opportuni ties for precision medicine, early disease detection, and proactive healthcare interventions (Khatib , Hamidi, Ameeri, Zaabi, & Marqab, 2022). However, harnessing the transformative power of big data in low- and middle-income countries (LMICs) presents unique challenges (Kaur , Garg, & Gupta , 2021; López , Rico-Olarte, Blobel, & Hullin , 2022). These challenges are deeply rooted in the complex interplay of socio-economic, technological, and infrastructural factors prevalent in many LMICs (Bagherian & Sattari, 2022). Data scarcity, often due to underdeveloped data collection and reporting systems, poses a significant hurdle (Hoxha, Hung, Irwin, & Grépin, 2022). Even when data is available, concerns regarding its quality, including accuracy, completeness, and consistency, often undermine its reliability for decision-making (Díaz Iturry, Alves -Souza, Ito, & da Silva , 2021). Additionally, limitations in technological infrastructure, such as inadequate storage capacity and computing power, can impede the effective pro cessing and analysis of big data (Kumar & Mostafa, 2020). The scarcity of trained personnel equipped with the necessary skills to manage and interpret big data further exacerbates these challenges (Chen, Lin, & Wu, 2020). The unique healthcare context of L MICs necessitates solutions tailored to their specific needs and priorities (Xiong et al., 2023). LMICs often grapple with a higher prevalence of infectious diseases, malnutrition, and maternal and child health issues, distinct from the disease burden in H ICs (World Health Organization, 2024). Moreover,",uj.ac.za,University of Johannesburg,South Africa,-26.18493745,27.99979246435022
7,LEVERAGING AI FOR UNBIASED ANALYSIS OF EMERGING TECHNIQUES IN ACADEMIC LITERATURE,@uj.ac.za,"Artificial intelligence, AI engineering and applications, Machine learning, Decision making, Word embedding","In the rapidly evolving landscape of artificial intelligence (AI), the challenge of quantifying knowledge drift and emerging techniques persists due to inherent biases in expert knowledge. AI engineers often apply techniques subjectively based on their understanding, making it difficult to measure knowledge evolution objectively. To address this, we propose leveraging AI to process extensive academic research data, providing an unbiased assessment of the emergence and application of techniques.  This stud y employs natural language processing (NLP) techniques, including knowledge embedding, abstractions, named entity recognition (NER), and knowledge graphs , to extract cutting-edge knowledge using a large corpus of academic literature , enabled by  techniques such as  Retrieval- Augmented Generation (RAG) to generate  summaries, keywords, and abstracts for analysis. NER facilitates identifying and classifying entities such as persons, organizations, and locations. Word2Vec measures the similarity and diversity of words and entities, uncovering new associations and patterns. Integrating knowledge graphs organizes the extracted knowledge into a coherent and comp rehensive structure, allowing for easy querying, visualization, and reasoning. This approach enables a deeper understanding of techniques' emergence, application, and suitability within specific domains, helping identify inflection points and trends in knowledge evolution. Keywords Artificial intelligence, AI engineering and applications, Machine learning, Decision making, Word embedding Introduction Humanity has entered the era of Fourth Industrial Revolution (4IR), or Industry 4.0, where AI plays a crucial role. 4IR signifies the transition from traditional manufacturing, where machines perform set routines, to digital manufacturing, where machines c ommunicate with each other, self -monitor, and collaborate autonomously (Oztemel & Gursev, 2020). AI can be described as intelligence shown by machines or the study of how digital computers and algorithms carry out tasks and solve complex problems, typica lly requiring human intelligence, and inclusive of reasoning, prediction, and the ability to adapt to changing situations, often surpassing human capabilities (Giuggioli & Pellegrini, 2023). The definition of AI has continually evolved since computer scientist John McCarthy first described it over 60 years ago as “the science and engineering of making intelligent machines” (Andersen, 2002). Today, AI encompasses various subsets, including machine learning (ML) and its further subset, deep learning (DL) (Giuggioli & Pellegrini, 2023). ML techniques such as classification, dimensionality reduction, regression, and object recognition, are extensively used for tasks such as predictions, recommendations, and detection (Bindra et al., 2021) . These technologies have firmly established themselves over the past decade and are projected to grow exponentially in the future (Bindra et al., 2021). AI has witnessed exponential growth lately, driving advancements across various domains (Gill et al., 2022) ; which have revolutionized industries such as healthcare, finance, and transportation, enhanced efficiency and created new opportunities for innovation (Dwivedi et al., 2021). This rapid evolution, however, presents significant challenges, particularly in understanding and quantifying knowledge drift (KD) in AI —the gradual",uj.ac.za,University of Johannesburg,South Africa,-26.18493745,27.99979246435022
8,EXPLORING STATE CHIEF INFORMATION OFFICERS INVOLVEMENT IN INFORMATION TECHNOLOGY STRATEGIC PLANNING FOR REMOTE COLLABORATION SAIC MITRE,@saic.com,"State Chief Information Officers, Information Technology Strategic Planning, Remote Collaboration .","State Chief Information Officers (CIOs) have a vital role in information technology (IT) organizations; they lead and sponsor information system (IS) pr ograms, ensure operations, and provide technologies and capabilities for their organizations. Previous studies (Eiras, 2010; Haffke et al., 2016; Mitchell, 2015; Muller, 2011; Roberts et al., 2014) have discussed CIOs’ effectiveness in organizational manag ement, and CIOs’ skillsets and credentials for roles and responsibilities involved in leading an organization. Compliance with Presidential Executive Orders 13571 and 13576 requires federal government agencies to undertake appropriate steps to streamline a nd improve digital services, and deliver an efficient, effective, and accountable federal government. At the state government level, the CIO position is established in each of the 50 U.S. states and tasked with providing oversight and managing state inform ation technology (IT) and information system (IS). Investigating CIOs’ involvement in dealing with IT initiatives in their organizations can identify practices leading to successful implementations (Porfirio et al., 2020). Keywords State Chief Information Officers, Information Technology Strategic Planning, Remote Collaboration . Introduction The term CIO was first used in the early 1980s and later associated with the main responsibilities of planning, operating, and managing an organization’s IT resources, IT investment, and IT management as a corporate executive leader (Ostrowski & Helfert, 2011). The Clinger -Cohen Act of 1996 mandated the position of CIO; this individual would take the steps necessary to implement and manage IT and processes through policies and strategic plans to meet organizational business and mission needs (Government Accountability Office, 2001). CIOs exist in many industries including commercial, private, and government industries as well as various research and academic institutes;  they strive for their organization’s success by meeting their goals and objectives. Scant research literature pertaining to State CIOs is available (De Tuya et al., 2020). Some reports from the U.S. Government Accountability Office (GAO) cover topics on U.S. federal government CIOs, and reports from the National Association of State Chief Information Officers (NASCIO) covering topics on U.S. state government CIOs are also available. However, current literature includes limited information about State CIOs (McCarthy et al., 2021). A gap exists in the literature pertaining to State CIOs’ involvement, and the implications of IT strategic planning and remote collaboration during the height of the COVID-19 pandemic. Problem",saic.com,,,46.3144754,11.0480288
9,"A GENERALIZED, INDUCED PROTOCOL FOR SYSTEM DYNAMICS MODEL REPLICATION IN AN ALTERNATIVE SOFTWARE",@tec.mx,"Model Replication, Protocol, System Dynamics, Simulink, Vensim","The ability to simulate is influenced considerably by the software technology a vailable to the modeler.   The access, availability, and use of simulation software are , in turn, affected by cost considerations, geographical constraints of access owing to the location of modelers, multilingual capabilities of the software, and compatibi lity of simulation software with local technology infrastructure, among other factors.  Given that new knowledge can only be built upon existing knowledge, the replicability of existing models is of paramount importance.   In addition, the ability to replicate needs to be independent of the availability of the software technology used to build the original model.   In our endeavor to replicate a model in different software, we have induced a generic protocol that modelers can use to guide them in a similar endeavor concerning System Dynamics simulation. Keywords Model Replication, Protocol, System Dynamics, Simulink, Vensim Introduction Among the issues preventing the widespread adoption of System Dynamics (SD) modeling in approaching complex real-world situations, the difficulty of model replication stands out for its lack of literature and tools dedicated to its amelioration (Elizondo-Noriega, Beruvides, et al., 2019) .  As more efforts are made to build, calibrate, and validate new SD models, few seem to share sufficient information that would allow others to replicate their work, and in turn, even fewer attempt to do so regardless of recent efforts in the System Dynamics discipline like the SDM -DOC approach followed by the System Dynamics Review.  Models published before the SDM-DOC format implementation or publish ed in journals other than the System Dynamics Review are even more challenging to replicate but not impossible.  The problems this scarcity of information produces are only exacerbated by the technical hurdles one can encounter when trying to replicate a m odel, such as unexpected changes between versions of the same modeling software or a lack of flexibility in exporting and representing results. In previous work by Elizondo-Noriega et al. (2019a), the authors recreated an SD model (not documented as it is suggested in the SDM -DOC format) that was originally reported by Visuwan and Tannock (Visawan & Tannock, 2004).  This model is referred to as the VT model, and it describes the interactions between defect prevention activities and the profitability of a vehicle manufacturing firm.  Since the initial replication, this model has been expanded upon by the authors and used to study the economic impact of leasing or purchasing industrial robots, carrying out Six Sigma projects, and implementing RFID tech nology (Elizondo-Noriega et al., 2019b, 2019c, 2019d, 2021, 2021a, 2022). The model replication mentioned above was performed using Vensim (Ventana Systems, 2023), while Visuwan and Tannock used Stella, i.e. , two different SD simulation software environments .  Elizondo-Noriega et al. (20 19a) decided to use Vensim because it is a widely used option in both industry and research due to different factors such",tec.mx,,,46.3144754,11.0480288
