Word,frq_2015,frq_2016,frq_2017,frq_2018,frq_2019,frq_2020,frq_2021,frq_2022,frq_2023,frq_2024,Cluster
aam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0
abandonment,0.0,0.0,1.0,7.0,12.0,5.0,0.0,0.0,0.0,0.0,0
abc,4.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0
abet,9.0,2.0,1.0,4.0,1.0,0.0,6.0,5.0,3.0,0.0,0
ability,11.0,24.0,23.0,23.0,27.0,11.0,16.0,14.0,44.0,32.0,3
able,10.0,16.0,7.0,16.0,11.0,6.0,6.0,15.0,18.0,10.0,3
absence,0.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,5.0,0
absorption,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0
abstract,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,0
academia,4.0,0.0,1.0,2.0,5.0,0.0,3.0,6.0,4.0,4.0,0
academic,7.0,4.0,11.0,16.0,14.0,3.0,15.0,20.0,26.0,16.0,3
academy,2.0,3.0,6.0,6.0,8.0,3.0,5.0,0.0,1.0,1.0,0
accelerate,2.0,2.0,2.0,6.0,4.0,2.0,3.0,4.0,4.0,6.0,0
accept,2.0,5.0,3.0,13.0,8.0,2.0,3.0,2.0,4.0,1.0,0
acceptable,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0
acceptance,2.0,4.0,5.0,4.0,0.0,2.0,3.0,2.0,7.0,3.0,0
access,2.0,16.0,11.0,20.0,13.0,8.0,9.0,12.0,26.0,15.0,3
accessible,0.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,0
accident,7.0,10.0,7.0,23.0,5.0,3.0,6.0,0.0,8.0,7.0,0
accommodate,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,0
accompany,1.0,4.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,0
accomplish,5.0,7.0,13.0,7.0,0.0,2.0,2.0,7.0,2.0,6.0,0
accord,3.0,19.0,18.0,15.0,8.0,17.0,23.0,20.0,19.0,24.0,3
accordingly,1.0,2.0,2.0,3.0,0.0,4.0,2.0,1.0,2.0,0.0,0
account,6.0,12.0,13.0,7.0,8.0,2.0,10.0,4.0,17.0,8.0,0
accountability,1.0,4.0,1.0,1.0,9.0,2.0,2.0,0.0,1.0,2.0,0
accredit,6.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0
accreditation,2.0,0.0,12.0,3.0,1.0,0.0,1.0,4.0,2.0,0.0,0
accuracy,2.0,3.0,4.0,1.0,1.0,7.0,7.0,1.0,4.0,14.0,0
accurate,1.0,2.0,2.0,4.0,3.0,2.0,3.0,7.0,10.0,5.0,0
accurately,2.0,4.0,1.0,3.0,1.0,6.0,0.0,7.0,2.0,4.0,0
achieve,13.0,24.0,33.0,37.0,25.0,23.0,33.0,36.0,20.0,23.0,3
achievement,0.0,2.0,4.0,3.0,1.0,0.0,2.0,5.0,1.0,0.0,0
acknowledge,0.0,1.0,4.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,0
acquire,0.0,0.0,4.0,7.0,1.0,1.0,1.0,7.0,3.0,3.0,0
acquisition,2.0,18.0,31.0,19.0,13.0,2.0,21.0,7.0,2.0,9.0,3
act,3.0,7.0,6.0,15.0,10.0,2.0,3.0,6.0,8.0,10.0,0
action,9.0,23.0,22.0,7.0,22.0,5.0,5.0,14.0,29.0,11.0,3
active,2.0,2.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,0
actively,1.0,0.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,0
activity,18.0,47.0,52.0,22.0,46.0,20.0,16.0,40.0,36.0,35.0,2
actor,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0,12.0,0
actual,0.0,4.0,8.0,4.0,1.0,0.0,5.0,4.0,2.0,1.0,0
actually,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,0
acute,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0
ad,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,1.0,0
adapt,8.0,13.0,13.0,8.0,10.0,8.0,7.0,5.0,14.0,12.0,0
adaptability,6.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,4.0,0
adaptable,0.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0
adaptation,0.0,4.0,8.0,4.0,6.0,1.0,0.0,3.0,5.0,11.0,0
