,Word,year,frq
0,aam,2015,0.0
1,abandonment,2015,0.0
2,abc,2015,4.0
3,abet,2015,9.0
4,ability,2015,11.0
5,able,2015,10.0
6,absence,2015,0.0
7,absorption,2015,0.0
8,abstract,2015,1.0
9,academia,2015,4.0
10,academic,2015,7.0
11,academy,2015,2.0
12,accelerate,2015,2.0
13,accept,2015,2.0
14,acceptable,2015,1.0
15,acceptance,2015,2.0
16,access,2015,2.0
17,accessible,2015,0.0
18,accident,2015,7.0
19,accommodate,2015,3.0
20,accompany,2015,1.0
21,accomplish,2015,5.0
22,accord,2015,3.0
23,accordingly,2015,1.0
24,account,2015,6.0
25,accountability,2015,1.0
26,accredit,2015,6.0
27,accreditation,2015,2.0
28,accuracy,2015,2.0
29,accurate,2015,1.0
30,accurately,2015,2.0
31,achieve,2015,13.0
32,achievement,2015,0.0
33,acknowledge,2015,0.0
34,acquire,2015,0.0
35,acquisition,2015,2.0
36,act,2015,3.0
37,action,2015,9.0
38,active,2015,2.0
39,actively,2015,1.0
40,activity,2015,18.0
41,actor,2015,0.0
42,actual,2015,0.0
43,actually,2015,2.0
44,acute,2015,0.0
45,ad,2015,0.0
46,adapt,2015,8.0
47,adaptability,2015,6.0
48,adaptable,2015,0.0
49,adaptation,2015,0.0
50,adaptive,2015,0.0
51,add,2015,12.0
52,addiction,2015,0.0
53,addition,2015,8.0
54,additional,2015,8.0
55,additionally,2015,5.0
56,additive,2015,2.0
57,address,2015,29.0
58,adequate,2015,1.0
59,adequately,2015,2.0
60,adherence,2015,0.0
61,adjust,2015,0.0
62,adjustment,2015,0.0
63,administration,2015,2.0
64,administrative,2015,2.0
65,admission,2015,0.0
66,admit,2015,0.0
67,adopt,2015,9.0
68,adoption,2015,2.0
69,adult,2015,0.0
70,advance,2015,2.0
71,advanced,2015,0.0
72,advancement,2015,0.0
73,advantage,2015,9.0
74,advent,2015,0.0
75,adverse,2015,1.0
76,adversely,2015,0.0
77,advocate,2015,1.0
78,aerial,2015,1.0
79,aerospace,2015,4.0
80,af,2015,0.0
81,afc,2015,0.0
82,affair,2015,0.0
83,affect,2015,10.0
84,afford,2015,2.0
85,affordability,2015,0.0
86,affordable,2015,1.0
87,afghanistan,2015,0.0
88,africa,2015,4.0
89,african,2015,0.0
90,age,2015,0.0
91,agency,2015,4.0
92,agenda,2015,4.0
93,agent,2015,4.0
94,aggregate,2015,1.0
95,aggregation,2015,0.0
96,agile,2015,10.0
97,agility,2015,1.0
98,ago,2015,0.0
99,agree,2015,1.0
100,agreement,2015,5.0
101,agricultural,2015,3.0
102,agriculture,2015,0.0
103,ahds,2015,0.0
104,ahead,2015,0.0
105,ahp,2015,7.0
106,ai,2015,8.0
107,aid,2015,4.0
108,aim,2015,14.0
109,air,2015,0.0
110,aircraft,2015,0.0
111,airline,2015,0.0
112,airport,2015,0.0
113,al,2015,1.0
114,alaska,2015,0.0
115,algorithm,2015,9.0
116,align,2015,0.0
117,alignment,2015,3.0
118,alliance,2015,5.0
119,allocate,2015,0.0
120,allocation,2015,5.0
121,allow,2015,11.0
122,alongside,2015,0.0
123,alter,2015,0.0
124,alternative,2015,8.0
125,amazon,2015,0.0
126,ambiguity,2015,0.0
127,america,2015,0.0
128,american,2015,7.0
129,americans,2015,0.0
130,amount,2015,0.0
131,analyse,2015,1.0
132,analysis,2015,64.0
133,analytic,2015,9.0
134,analytical,2015,4.0
135,analyze,2015,16.0
136,and/or,2015,3.0
137,anderson,2015,0.0
138,annual,2015,1.0
139,annually,2015,1.0
140,answer,2015,3.0
141,antecedent,2015,0.0
142,anticipate,2015,3.0
143,app,2015,0.0
144,appear,2015,4.0
145,apple,2015,0.0
146,applicability,2015,1.0
147,applicable,2015,0.0
148,application,2015,34.0
149,applied,2015,3.0
150,apply,2015,19.0
151,appraisal,2015,0.0
152,approach,2015,84.0
153,appropriate,2015,5.0
154,approval,2015,0.0
155,approximately,2015,2.0
156,april,2015,0.0
157,ar,2015,0.0
158,arabia,2015,0.0
159,architecture,2015,5.0
160,area,2015,26.0
161,argentina,2015,0.0
162,argue,2015,3.0
163,arise,2015,2.0
164,arkansas,2015,1.0
165,army,2015,4.0
166,array,2015,2.0
167,arrive,2015,2.0
168,art,2015,5.0
169,article,2015,3.0
170,articulate,2015,1.0
171,artificial,2015,2.0
172,asem,2015,23.0
173,asian,2015,0.0
174,ask,2015,6.0
175,aspect,2015,14.0
176,assemble,2015,0.0
177,assembly,2015,1.0
178,assess,2015,15.0
179,assessment,2015,16.0
180,asset,2015,3.0
181,assign,2015,3.0
182,assignment,2015,5.0
183,assist,2015,5.0
184,associate,2015,16.0
185,associated,2015,0.0
186,association,2015,2.0
187,assume,2015,2.0
188,assumption,2015,1.0
189,assure,2015,2.0
190,ate,2015,0.0
191,ation,2015,0.0
192,attack,2015,0.0
193,attain,2015,0.0
194,attempt,2015,6.0
195,attend,2015,0.0
196,attention,2015,13.0
197,attitude,2015,0.0
198,attract,2015,2.0
199,attribute,2015,14.0
200,augment,2015,1.0
201,augmented,2015,0.0
202,author,2015,12.0
203,authority,2015,1.0
204,auto,2015,0.0
205,automate,2015,0.0
206,automatically,2015,2.0
207,automation,2015,2.0
208,automobile,2015,0.0
209,automotive,2015,2.0
210,autonomous,2015,0.0
211,autonomy,2015,1.0
212,availability,2015,1.0
213,available,2015,4.0
214,average,2015,1.0
215,aviation,2015,0.0
216,avoid,2015,3.0
217,award,2015,0.0
218,aware,2015,0.0
219,awareness,2015,2.0
220,away,2015,1.0
221,bachelor,2015,0.0
222,background,2015,0.0
223,bad,2015,0.0
224,balance,2015,5.0
225,balanced,2015,3.0
226,balancing,2015,1.0
227,bank,2015,8.0
228,barrier,2015,3.0
229,base,2015,69.0
230,baseline,2015,0.0
231,basic,2015,13.0
232,basis,2015,4.0
233,battery,2015,2.0
234,bayesian,2015,1.0
235,bear,2015,1.0
236,begin,2015,4.0
237,beginning,2015,2.0
238,behavior,2015,26.0
239,behavioral,2015,1.0
240,belief,2015,0.0
241,believe,2015,4.0
242,belong,2015,1.0
243,belt,2015,2.0
244,benchmark,2015,0.0
245,beneficial,2015,4.0
246,benefit,2015,17.0
247,beruvide,2015,0.0
248,bias,2015,0.0
249,bibliometric,2015,2.0
250,bid,2015,0.0
251,bidding,2015,0.0
252,big,2015,5.0
253,billion,2015,4.0
254,bio,2015,3.0
255,biofuel,2015,1.0
256,biological,2015,0.0
257,biomass,2015,0.0
258,bitcoin,2015,0.0
259,black,2015,0.0
260,block,2015,0.0
261,blockchain,2015,0.0
262,bloebaum,2015,0.0
263,blood,2015,0.0
264,board,2015,0.0
265,body,2015,12.0
266,boeing,2015,0.0
267,boiler,2015,0.0
268,bond,2015,2.0
269,book,2015,2.0
270,boost,2015,1.0
271,border,2015,2.0
272,bottle,2015,0.0
273,bottleneck,2015,1.0
274,boundary,2015,3.0
275,box,2015,0.0
276,bp,2015,0.0
277,branch,2015,7.0
278,brand,2015,0.0
279,breach,2015,0.0
280,break,2015,3.0
281,breakdown,2015,1.0
282,breakthrough,2015,2.0
283,bridge,2015,0.0
284,brief,2015,3.0
285,bring,2015,4.0
286,broad,2015,0.0
287,broadband,2015,0.0
288,broadly,2015,0.0
289,budget,2015,4.0
290,buffer,2015,0.0
291,build,2015,13.0
292,building,2015,5.0
293,bullwhip,2015,0.0
294,burden,2015,1.0
295,bureau,2015,0.0
296,business,2015,22.0
297,buy,2015,2.0
298,buyer,2015,2.0
299,cadet,2015,0.0
300,calculate,2015,2.0
301,calculation,2015,3.0
302,calibration,2015,0.0
303,california,2015,2.0
304,call,2015,5.0
305,camera,2015,0.0
306,campus,2015,0.0
307,cancel,2015,0.0
308,cancer,2015,2.0
309,candidate,2015,1.0
310,cap,2015,0.0
311,capability,2015,17.0
312,capable,2015,0.0
313,capacity,2015,4.0
314,capital,2015,4.0
315,capitalize,2015,0.0
316,capstone,2015,7.0
317,capture,2015,6.0
318,car,2015,1.0
319,carbon,2015,1.0
320,card,2015,0.0
321,care,2015,11.0
322,career,2015,5.0
323,careful,2015,0.0
324,cargo,2015,16.0
325,carrier,2015,0.0
326,carry,2015,4.0
327,case,2015,34.0
328,cash,2015,0.0
329,catastrophic,2015,2.0
330,categorize,2015,3.0
331,category,2015,4.0
332,causal,2015,10.0
333,cause,2015,6.0
334,cave,2015,0.0
335,cbm,2015,0.0
336,ce,2015,0.0
337,cell,2015,4.0
338,census,2015,0.0
339,center,2015,6.0
340,central,2015,2.0
341,centre,2015,0.0
342,centric,2015,0.0
343,century,2015,1.0
344,ceo,2015,1.0
345,certain,2015,1.0
346,certainty,2015,0.0
347,certificate,2015,1.0
348,certification,2015,16.0
349,certify,2015,2.0
350,cfm,2015,0.0
351,ch,2015,0.0
352,chain,2015,18.0
353,challenge,2015,19.0
354,challenging,2015,2.0
355,chan,2015,0.0
356,chance,2015,0.0
357,change,2015,53.0
358,channel,2015,1.0
359,character,2015,9.0
360,characteristic,2015,21.0
361,characterize,2015,1.0
362,charge,2015,6.0
363,chart,2015,3.0
364,chatgpt,2015,0.0
365,cheap,2015,0.0
366,check,2015,1.0
367,chemical,2015,0.0
368,chen,2015,0.0
369,chief,2015,2.0
370,china,2015,1.0
371,chinese,2015,0.0
372,choice,2015,0.0
373,choose,2015,5.0
374,ci,2015,0.0
375,cio,2015,0.0
376,circumstance,2015,0.0
377,cite,2015,2.0
378,citizen,2015,0.0
379,city,2015,5.0
380,civil,2015,2.0
381,claim,2015,0.0
382,clarify,2015,1.0
383,clarity,2015,0.0
384,class,2015,5.0
385,classic,2015,0.0
386,classical,2015,1.0
387,classification,2015,1.0
388,classify,2015,1.0
389,classroom,2015,2.0
390,clean,2015,0.0
391,clear,2015,4.0
392,clearance,2015,0.0
393,clearly,2015,4.0
394,client,2015,0.0
395,climate,2015,9.0
396,clinic,2015,0.0
397,clinical,2015,0.0
398,close,2015,3.0
399,closely,2015,0.0
400,cloud,2015,0.0
401,cluster,2015,6.0
402,clustering,2015,4.0
403,cms,2015,0.0
404,co,2015,6.0
405,coaching,2015,0.0
406,coal,2015,2.0
407,coalition,2015,1.0
408,cockpit,2015,0.0
409,code,2015,2.0
410,cognitive,2015,7.0
411,cold,2015,0.0
412,collaborate,2015,2.0
413,collaboration,2015,15.0
414,collaborative,2015,6.0
415,collect,2015,7.0
416,collection,2015,4.0
417,collective,2015,0.0
418,college,2015,1.0
419,collopy,2015,0.0
420,collusion,2015,0.0
421,colorectal,2015,0.0
422,com,2015,0.0
423,combat,2015,0.0
424,combination,2015,3.0
425,combine,2015,9.0
426,combined,2015,1.0
427,come,2015,6.0
428,command,2015,3.0
429,comment,2015,1.0
430,commerce,2015,0.0
431,commercial,2015,3.0
432,commercialization,2015,4.0
433,commission,2015,0.0
434,commit,2015,1.0
435,commitment,2015,3.0
436,commodity,2015,2.0
437,common,2015,7.0
438,commonly,2015,4.0
439,communicate,2015,2.0
440,communication,2015,21.0
441,community,2015,12.0
442,company,2015,40.0
443,comparative,2015,1.0
444,compare,2015,16.0
445,comparison,2015,3.0
446,compensation,2015,0.0
447,compete,2015,3.0
448,competence,2015,7.0
449,competency,2015,17.0
450,competition,2015,6.0
451,competitive,2015,10.0
452,competitiveness,2015,1.0
453,competitor,2015,0.0
454,compile,2015,1.0
455,complement,2015,0.0
456,complete,2015,12.0
457,completely,2015,0.0
458,completion,2015,4.0
459,complex,2015,45.0
460,complexity,2015,11.0
461,compliance,2015,1.0
462,complicated,2015,0.0
463,component,2015,21.0
464,compose,2015,0.0
465,composite,2015,0.0
466,compound,2015,0.0
467,comprehend,2015,1.0
468,comprehensive,2015,4.0
469,comprise,2015,4.0
470,compromise,2015,0.0
471,computational,2015,1.0
472,compute,2015,0.0
473,computer,2015,4.0
474,computing,2015,1.0
475,con,2015,1.0
476,concentrate,2015,0.0
477,concept,2015,20.0
478,conceptual,2015,16.0
479,conceptualize,2015,1.0
480,concern,2015,5.0
481,conclude,2015,5.0
482,conclusion,2015,3.0
483,concrete,2015,0.0
484,concurrent,2015,1.0
485,condition,2015,1.0
486,conduct,2015,19.0
487,conference,2015,6.0
488,confidence,2015,0.0
489,configuration,2015,9.0
490,confirm,2015,2.0
491,conflict,2015,2.0
492,conform,2015,0.0
493,confront,2015,1.0
494,confusion,2015,0.0
495,conjunction,2015,1.0
496,connect,2015,3.0
497,connected,2015,0.0
498,connection,2015,3.0
499,connector,2015,0.0
500,consensus,2015,3.0
501,consequence,2015,9.0
502,consequently,2015,3.0
503,consider,2015,29.0
504,considerable,2015,2.0
505,considerably,2015,2.0
506,consideration,2015,6.0
507,consist,2015,1.0
508,consistency,2015,0.0
509,consistent,2015,1.0
510,consistently,2015,1.0
511,constant,2015,0.0
512,constantly,2015,1.0
513,constituent,2015,0.0
514,constitute,2015,1.0
515,constrain,2015,1.0
516,constraint,2015,7.0
517,construct,2015,11.0
518,construction,2015,7.0
519,consulting,2015,0.0
520,consume,2015,0.0
521,consumer,2015,3.0
522,consumption,2015,5.0
523,contain,2015,3.0
524,container,2015,0.0
525,contemporary,2015,0.0
526,content,2015,11.0
527,context,2015,19.0
528,contexts,2015,3.0
529,contextual,2015,1.0
530,continually,2015,1.0
531,continue,2015,6.0
532,continued,2015,1.0
533,continuous,2015,7.0
534,continuously,2015,0.0
535,contract,2015,2.0
536,contractor,2015,14.0
537,contrast,2015,5.0
538,contribute,2015,12.0
539,contribution,2015,4.0
540,contributor,2015,1.0
541,control,2015,15.0
542,controller,2015,0.0
543,convenience,2015,0.0
544,conventional,2015,3.0
545,convergence,2015,1.0
546,conversely,2015,0.0
547,conversion,2015,1.0
548,convert,2015,5.0
549,cooperation,2015,6.0
550,cooperative,2015,1.0
551,coordinate,2015,0.0
552,coordination,2015,3.0
553,cope,2015,0.0
554,copper,2015,0.0
555,copyright,2015,0.0
556,coq,2015,0.0
557,core,2015,3.0
